model,block,train,test,perfect_over_loc,learned_over_loc,capture,pred_corr
ridge,A,tags-math-sx,tags-ask-ubuntu,1.1923896562998082,1.1663785945265783,0.8648001027004496,0.9774531150896226
ridge,AB,tags-math-sx,tags-ask-ubuntu,1.1923896562998082,1.1740285160251402,0.9045627471465769,0.9772538700720508
ridge,ABC,tags-math-sx,tags-ask-ubuntu,1.1923896562998082,1.1739493450895475,0.9041512336737874,0.9772635737473032
gbt,ABC,tags-math-sx,tags-ask-ubuntu,1.1923896562998082,1.205962849836649,1.0705505368526114,0.9836042903750372
ridge,A,tags-math-sx,cs-cocitations,1.498426821066899,1.1541700238664054,0.3093132579350354,0.670411924166305
ridge,AB,tags-math-sx,cs-cocitations,1.498426821066899,1.1662634874727467,0.3335765260722812,0.673745701138659
ridge,ABC,tags-math-sx,cs-cocitations,1.498426821066899,1.1663645778528609,0.3337793449733544,0.6738289856868743
gbt,ABC,tags-math-sx,cs-cocitations,1.498426821066899,1.1181199782365174,0.23698559797339505,0.6568524747288161
ridge,A,tags-math-sx,diseasome,3.9900640519565753,2.339596757321461,0.448016073918177,0.557845545859449
ridge,AB,tags-math-sx,diseasome,3.9900640519565753,2.4432814682450505,0.4826924919219126,0.5504903076166676
ridge,ABC,tags-math-sx,diseasome,3.9900640519565753,2.441754782283574,0.4821819055481934,0.5507630665244618
gbt,ABC,tags-math-sx,diseasome,3.9900640519565753,1.6999674336458597,0.23409780576032466,0.46051058504800113
ridge,A,tags-math-sx,hospital-lyon,1.0879241574641232,1.0240890627891943,0.27397547481786994,0.9070699801980251
ridge,AB,tags-math-sx,hospital-lyon,1.0879241574641232,1.0266557071394857,0.3031670465578518,0.907965179860241
ridge,ABC,tags-math-sx,hospital-lyon,1.0879241574641232,1.0265721155246148,0.3022163224647033,0.9078775094415544
gbt,ABC,tags-math-sx,hospital-lyon,1.0879241574641232,1.041903249965546,0.47658403758539714,0.8574724047793844
ridge,A,tags-math-sx,house-committees,6.46048355911533,1.3906304707335428,0.07153770659769738,0.2918276494119806
ridge,AB,tags-math-sx,house-committees,6.46048355911533,1.4055218058345453,0.07426481582525728,0.28858359060034616
ridge,ABC,tags-math-sx,house-committees,6.46048355911533,1.406175866208813,0.07438459649434763,0.28889383244422656
gbt,ABC,tags-math-sx,house-committees,6.46048355911533,1.2422624412897685,0.044366481222226806,0.24713235242328085
ridge,A,tags-math-sx,hypertext-conference,1.1388262015279327,1.0680303723597993,0.49003985999077504,0.9413276731384986
ridge,AB,tags-math-sx,hypertext-conference,1.1388262015279327,1.0728879499238426,0.5250302113119267,0.9464415591408306
ridge,ABC,tags-math-sx,hypertext-conference,1.1388262015279327,1.0728742381331653,0.5249314418395475,0.9465004838210058
gbt,ABC,tags-math-sx,hypertext-conference,1.1388262015279327,1.0551367014495991,0.3971635097896509,0.8610942525415248
ridge,A,tags-math-sx,invs13,1.2663198563455473,1.025069025068692,0.09413126536147275,0.6045964281175072
ridge,AB,tags-math-sx,invs13,1.2663198563455473,1.028295094960671,0.10624478155304523,0.6073284842757668
ridge,ABC,tags-math-sx,invs13,1.2663198563455473,1.0282897049693163,0.10622454276413644,0.6073566616335547
gbt,ABC,tags-math-sx,invs13,1.2663198563455473,1.0247235482648278,0.09283404025552362,0.5090045911036527
ridge,A,tags-math-sx,math-cocitations,1.8053571194025417,1.1400009545018857,0.17383711043089317,0.5509186538243264
ridge,AB,tags-math-sx,math-cocitations,1.8053571194025417,1.1541020531759234,0.19134623568019712,0.557184911128214
ridge,ABC,tags-math-sx,math-cocitations,1.8053571194025417,1.154460049976725,0.1917907550023423,0.5576500852046359
gbt,ABC,tags-math-sx,math-cocitations,1.8053571194025417,1.210907116473441,0.2618802409419359,0.5910853151193128
ridge,A,tags-math-sx,neuro-cocitations,2.1242543379282326,0.9660499338902641,-0.03019785200233149,0.40614973659779274
ridge,AB,tags-math-sx,neuro-cocitations,2.1242543379282326,0.9816079819779611,-0.01635930358599426,0.4159593051113572
ridge,ABC,tags-math-sx,neuro-cocitations,2.1242543379282326,0.9829634499424629,-0.015153644049025375,0.41667342338505364
gbt,ABC,tags-math-sx,neuro-cocitations,2.1242543379282326,1.395048701437374,0.35138730455367134,0.6891281057879487
ridge,A,tags-math-sx,physics-cocitations,1.8439255034952018,1.127559920031658,0.15115068747579707,0.549149408529624
ridge,AB,tags-math-sx,physics-cocitations,1.8439255034952018,1.138298831395884,0.16387563928700521,0.553842342862046
ridge,ABC,tags-math-sx,physics-cocitations,1.8439255034952018,1.1386198318356688,0.16425600513500416,0.554205206309684
gbt,ABC,tags-math-sx,physics-cocitations,1.8439255034952018,1.224388593761356,0.2658867315089165,0.6709440683200424
ridge,A,tags-math-sx,plant-pollinator-mpl-014,2.5834026366365537,1.034137513038507,0.02155959087640628,0.30912048299308165
